RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11,RSSI_12,RSSI_13,RSSI_14,RSSI_15,RSSI_16,RSSI_17,RSSI_18,RSSI_19,RSSI_20,RSSI_21,RSSI_22,RSSI_23,RSSI_24,RSSI_25,RSSI_26,RSSI_27,RSSI_28,RSSI_29,Label
-63,-61,-63,-63,-63,-63,-61,-62,-61,-62,-62,-62,-62,-62,-62,-62,-61,-63,-63,-62,-61,-61,-61,-61,-62,-63,-63,-62,-62,-62,Human_Walking
-63,-63,-63,-63,-63,-62,-63,-63,-63,-63,-62,-63,-65,-63,-63,-63,-63,-62,-62,-62,-62,-63,-63,-62,-63,-62,-63,-62,-63,-63,Human_Walking
-63,-63,-62,-63,-63,-63,-63,-63,-62,-63,-63,-61,-61,-61,-61,-61,-61,-63,-63,-63,-62,-62,-63,-63,-63,-63,-64,-63,-63,-64,Human_Walking
-63,-62,-63,-63,-60,-61,-61,-63,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-63,-63,-62,-62,-63,-63,-63,-63,-62,-62,Human_Walking
-61,-62,-61,-61,-61,-61,-61,-61,-61,-62,-62,-61,-63,-64,-63,-64,-63,-63,-63,-63,-63,-62,-63,-63,-63,-63,-63,-63,-63,-62,Human_Walking
-63,-63,-62,-61,-61,-60,-60,-62,-62,-63,-63,-63,-62,-63,-62,-63,-62,-63,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,Human_Walking
-63,-63,-62,-63,-62,-62,-62,-62,-63,-63,-63,-63,-62,-62,-61,-61,-63,-62,-62,-63,-62,-63,-62,-62,-62,-62,-62,-62,-63,-62,Human_Walking
-62,-62,-62,-63,-63,-62,-61,-62,-62,-61,-62,-62,-61,-62,-61,-62,-61,-61,-63,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,Human_Walking
-63,-63,-61,-62,-61,-62,-62,-63,-61,-62,-61,-61,-62,-62,-62,-62,-63,-63,-62,-63,-63,-63,-62,-63,-62,-62,-62,-62,-63,-62,Human_Walking
-63,-62,-63,-63,-63,-63,-62,-62,-62,-62,-63,-62,-62,-63,-62,-62,-62,-61,-61,-61,-61,-62,-62,-62,-63,-63,-62,-63,-62,-63,Human_Walking
-62,-62,-62,-62,-63,-65,-65,-65,-64,-64,-65,-66,-61,-64,-64,-64,-64,-64,-64,-64,-64,-66,-62,-65,-62,-65,-65,-66,-62,-62,Human_Walking
-65,-65,-65,-62,-65,-65,-64,-65,-65,-62,-62,-65,-65,-61,-64,-64,-65,-65,-66,-64,-65,-66,-65,-66,-64,-62,-62,-65,-66,-64,Human_Walking
-62,-62,-62,-62,-65,-65,-65,-64,-64,-63,-65,-65,-65,-65,-62,-64,-65,-66,-65,-65,-65,-65,-64,-62,-64,-63,-64,-64,-64,-65,Human_Walking
